,rates
AED,3.850791
AFN,82.264895
ALL,106.592958
AMD,412.091081
ANG,1.901694
AOA,869.122771
ARS,366.953826
AUD,1.660199
AWG,1.887119
AZN,1.782715
BAM,1.958115
BBD,2.132601
BDT,116.337527
BGN,1.956422
BHD,0.395209
BIF,2997.757993
BMD,1.048399
BND,1.44757
BOB,7.29162
BRL,5.308881
BSD,1.055107
BTC,3.7997344e-05
BTN,87.776602
BWP,14.523754
BYN,3.473306
BYR,20548.627383
BZD,2.126884
CAD,1.436758
CDF,2594.788737
CHF,0.965093
CLF,0.034522
CLP,952.554656
CNY,7.554031
COP,4363.438121
CRC,563.850416
CUC,1.048399
CUP,27.782583
CVE,110.364939
CZK,24.460199
DJF,187.874927
DKK,7.458365
DOP,60.039257
DZD,144.633601
EGP,32.398054
ERN,15.72599
ETB,58.799026
EUR,1.0
FJD,2.393129
FKP,0.864446
GBP,0.867697
GEL,2.804467
GGP,0.864446
GHS,12.156225
GIP,0.864446
GMD,68.674532
GNF,9059.450315
GTQ,8.293884
GYD,220.760971
HKD,8.209753
HNL,26.023018
HRK,7.354216
HTG,142.971512
HUF,387.502555
IDR,16334.061971
ILS,4.029911
IMP,0.864446
INR,87.214766
IQD,1381.933641
IRR,44294.872901
ISK,146.702754
JEP,0.864446
JMD,163.308381
JOD,0.743731
JPY,157.119451
KES,155.584451
KGS,93.003945
KHR,4358.924192
KMF,491.80733
KPW,943.535843
KRW,1424.973445
KWD,0.324259
KYD,0.87934
KZT,503.505214
LAK,21513.431919
LBP,15859.648347
LKR,342.424795
LRD,195.788779
LSL,19.835508
LTL,3.095651
LVL,0.634167
LYD,5.157901
MAD,10.864844
MDL,19.246752
MGA,4793.529463
MKD,61.526429
MMK,2215.834889
MNT,3642.503328
MOP,8.513464
MRO,374.27839
MUR,46.710194
MVR,16.093232
MWK,1140.715846
MXN,18.471222
MYR,4.95211
MZN,66.311207
NAD,20.126853
NGN,837.154768
NIO,38.604531
NOK,11.401369
NPR,140.436998
NZD,1.775128
OMR,0.403622
PAB,1.055247
PEN,3.998927
PGK,3.868462
PHP,59.550128
PKR,302.701074
PLN,4.615027
PYG,7700.809634
QAR,3.817265
RON,4.97403
RSD,117.281316
RUB,104.076175
RWF,1285.683069
SAR,3.932628
SBD,8.803898
SCR,13.780039
SDG,630.076286
SEK,11.58125
SGD,1.439874
SHP,1.27564
SLE,23.813151
SLL,20705.887651
SOS,597.063526
SRD,40.058266
SSP,629.039347
STD,21699.749965
SYP,13630.934068
SZL,20.143236
THB,38.831684
TJS,11.591303
TMT,3.669398
TND,3.333984
TOP,2.508033
TRY,28.834229
TTD,7.161466
TWD,33.902608
TZS,2636.724392
UAH,38.757107
UGX,3939.210796
USD,1.048399
UYU,40.588368
UZS,12873.217964
VEF,3598507.349178
VES,36.091189
VND,25570.4603
VUV,127.663405
WST,2.915451
XAF,656.714538
XAG,0.049706
XAU,0.000574
XCD,2.833352
XDR,0.802426
XOF,656.708266
XPF,119.674714
YER,262.466539
ZAR,20.169096
ZMK,9436.848334
ZMW,22.184908
ZWL,337.584165
